52,55,54,55,52,53,53,55,52,52,52,55,55,52,55,53,54,52,52,52,55,53,55,55,55,54,54,54,54,55,55,52,53,52,54,53,54,53,54,54,54,55,52,55,55,54,53,53,53,52,55,54,52,54,53,52,54,52,54,53,54,55,55,54,55,54,54,55,55,54,55,53,52,55,52,53,53,52,54,52,55,52,52,53,54,53,52,55,52,55,54,52,52,52,55,55
54,55,55,52,54,55,55,53,52,55,55,53,52,55,52,55,53,54,54,55,54,52,54,54,52,54,54,54,55,55,55,52,55,53,55,53,55,52,52,52,54,54,52,53,55,52,53,52,53,53,53,52,55,53,55,54,52,52,52,55,53,55,53,52,54,52,52,53,55,53,55,54,53,52,54,52,54,54,53,52,54,55,55,52,54,55,54,53,52,54,54,52,53,52,55,55
55,54,55,55,55,53,52,55,55,53,53,52,53,54,54,52,53,54,53,54,54,52,55,52,55,53,55,52,55,52,55,55,52,54,52,53,55,53,55,52,55,53,55,53,52,53,54,55,53,53,55,53,52,54,54,53,55,54,54,52,54,52,52,52,52,53,53,54,54,55,52,52,55,55,53,55,54,53,52,55,52,52,54,55,53,55,52,52,53,53,54,55,53,54,55,53
55,54,52,54,54,54,55,53,54,54,53,53,55,52,54,52,53,55,52,55,53,52,55,54,53,55,55,55,55,54,55,54,55,53,52,54,53,55,52,53,55,53,53,55,53,52,54,52,55,55,54,55,52,54,54,55,54,52,54,54,53,52,54,54,54,55,55,52,54,54,52,54,55,55,53,54,55,52,52,52,55,54,55,54,54,53,55,54,54,54,55,55,53,55,55,55
55,53,52,53,53,55,52,53,53,53,53,55,52,53,53,52,52,53,55,55,52,54,53,53,53,53,53,53,54,53,54,52,54,52,52,53,52,52,52,55,55,54,55,52,53,53,52,52,54,53,54,55,52,53,55,52,52,53,52,54,54,52,52,55,55,54,54,52,52,55,53,52,54,53,52,53,54,55,53,55,54,54,53,55,53,55,52,53,52,53,55,54,55,55,55,52
52,54,53,54,52,52,53,53,55,55,53,53,52,55,52,54,54,52,53,54,54,54,53,55,55,52,55,55,54,55,52,54,53,55,52,55,52,55,55,52,54,54,53,54,55,55,53,54,52,52,55,55,52,53,55,53,55,55,54,52,54,53,54,54,52,55,52,55,54,52,54,54,53,54,53,54,55,54,54,53,53,52,53,52,53,54,52,52,54,54,53,55,54,54,54,55
53,54,52,55,52,54,52,54,53,55,55,52,53,54,55,53,53,53,52,53,55,52,54,54,55,53,52,53,52,53,55,52,55,55,55,53,53,53,55,53,54,54,55,55,53,52,54,54,52,55,52,52,54,54,54,54,54,54,55,54,39,41,39,32,39,39,41,52,52,54,52,54,54,54,52,54,52,52,52,54,55,52,54,53,54,53,53,53,52,53,55,55,55,53,52,53
53,52,52,54,52,54,53,52,53,53,55,53,53,52,52,52,53,53,53,53,54,54,53,52,55,53,54,52,53,52,55,54,53,53,52,53,52,53,55,52,55,54,55,54,54,52,54,53,55,54,53,52,52,55,53,54,55,52,54,40,41,32,32,32,39,39,32,40,32,53,53,54,54,54,55,52,52,52,53,53,52,53,54,54,54,55,53,52,52,52,52,54,52,53,54,54
52,54,53,52,52,54,52,55,55,52,52,52,54,55,53,54,52,54,55,53,54,52,52,55,53,52,-1610612712,-1073741778,-1073741800,-1073741778,-1073741778,-1073741800,-1073741778,-1073741800,-1073741800,-1073741778,-1073741800,-1073741778,-1073741800,-1073741800,-1073741778,-1073741778,-1073741778,-1073741778,-1073741800,-1073741778,-1073741778,-1610612690,55,53,52,54,55,54,52,53,52,55,32,40,32,32,39,41,39,40,32,41,41,55,52,53,52,55,54,53,52,54,53,52,52,53,55,53,55,54,53,52,54,55,52,54,52,55,53,54
53,54,55,54,54,54,54,55,53,52,53,54,55,54,55,55,55,52,55,52,53,53,53,52,55,55,-1610612686,-1073741776,-1073741774,-1073741774,-1073741774,-1073741776,-1073741776,-1073741776,-1073741774,-1073741776,-1073741774,-1073741774,-1073741774,-1073741774,-1073741776,-1073741774,-1073741774,-1073741774,-1073741776,-1073741776,-1073741774,1610612784,55,55,55,55,54,54,52,55,54,32,32,41,32,41,41,40,39,32,39,39,40,39,53,53,52,52,55,53,52,54,54,53,52,52,52,52,55,52,54,55,52,52,52,53,54,55,52,54
52,53,52,52,53,52,53,52,53,55,53,55,52,55,55,53,54,54,52,54,52,54,52,53,52,53,-1610612688,1610612760,58,58,56,1610612782,1610612782,58,56,56,1610612760,1610612782,56,58,58,1610612782,1610612782,56,56,58,1610612782,1610612784,53,54,52,53,54,53,55,55,55,40,39,40,32,40,41,39,39,41,40,32,32,39,40,53,54,52,54,55,54,52,52,53,53,52,53,53,55,54,52,53,52,52,53,55,53,53,55,54
